engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,W1,1000000,0,6384.84,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,0,18.19,1000000,392000000,270958813,0.6912
splayed,1t,R2,1000000,0,7.96,1000000,8000000,270958813,0.6912
splayed,1t,R3,1000000,0,4.17,100,3200,270958813,0.6912
splayed,1t,R4,1000000,0,5.56,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,0,7.13,10000,320000,270958813,0.6912
splayed,1t,R6,1000000,0,3.92,1,8,270958813,0.6912
splayed,4t,W1,1000000,0,3381.05,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,0,18.31,1000000,392000000,270958813,0.6912
splayed,4t,R2,1000000,0,8.36,1000000,8000000,270958813,0.6912
splayed,4t,R3,1000000,0,4.09,100,3200,270958813,0.6912
splayed,4t,R4,1000000,0,5.50,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,0,6.86,10000,320000,270958813,0.6912
splayed,4t,R6,1000000,0,3.91,1,8,270958813,0.6912
parquet,1t,W1,1000000,0,5476.13,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,0,1144.40,1000000,392000000,281456087,0.7180
parquet,1t,R2,1000000,0,145.45,1000000,8000000,281456087,0.7180
parquet,1t,R3,1000000,0,144.40,100,3200,281456087,0.7180
parquet,1t,R4,1000000,0,97.52,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,0,156.94,10000,320000,281456087,0.7180
parquet,1t,R6,1000000,0,152.31,1,8,281456087,0.7180
