engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,W1,1000000,0,7386.45,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,0,859.42,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,1,870.72,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,2,882.74,1000000,392000000,270958813,0.6912
splayed,1t,R2,1000000,0,578.42,1000000,8000000,270958813,0.6912
splayed,1t,R2,1000000,1,424.10,1000000,8000000,270958813,0.6912
splayed,1t,R2,1000000,2,421.67,1000000,8000000,270958813,0.6912
splayed,1t,R3,1000000,0,4.32,100,3200,270958813,0.6912
splayed,1t,R3,1000000,1,4.33,100,3200,270958813,0.6912
splayed,1t,R3,1000000,2,4.31,100,3200,270958813,0.6912
splayed,1t,R4,1000000,0,10.31,10000,320000,270958813,0.6912
splayed,1t,R4,1000000,1,10.26,10000,320000,270958813,0.6912
splayed,1t,R4,1000000,2,10.27,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,0,11.84,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,1,11.82,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,2,11.83,10000,320000,270958813,0.6912
splayed,1t,R6,1000000,0,4.03,1,8,270958813,0.6912
splayed,1t,R6,1000000,1,4.02,1,8,270958813,0.6912
splayed,1t,R6,1000000,2,3.99,1,8,270958813,0.6912
splayed,4t,W1,1000000,0,4763.22,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,0,857.33,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,1,924.29,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,2,891.16,1000000,392000000,270958813,0.6912
splayed,4t,R2,1000000,0,420.06,1000000,8000000,270958813,0.6912
splayed,4t,R2,1000000,1,418.14,1000000,8000000,270958813,0.6912
splayed,4t,R2,1000000,2,427.69,1000000,8000000,270958813,0.6912
splayed,4t,R3,1000000,0,4.79,100,3200,270958813,0.6912
splayed,4t,R3,1000000,1,6.33,100,3200,270958813,0.6912
splayed,4t,R3,1000000,2,4.33,100,3200,270958813,0.6912
splayed,4t,R4,1000000,0,10.67,10000,320000,270958813,0.6912
splayed,4t,R4,1000000,1,10.61,10000,320000,270958813,0.6912
splayed,4t,R4,1000000,2,10.59,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,0,12.09,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,1,12.09,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,2,12.00,10000,320000,270958813,0.6912
splayed,4t,R6,1000000,0,4.03,1,8,270958813,0.6912
splayed,4t,R6,1000000,1,4.20,1,8,270958813,0.6912
splayed,4t,R6,1000000,2,4.04,1,8,270958813,0.6912
parquet,1t,W1,1000000,0,5628.55,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,0,1958.71,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,1,1952.58,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,2,1984.17,1000000,392000000,281456087,0.7180
parquet,1t,R2,1000000,0,23.24,1000000,8000000,281456087,0.7180
parquet,1t,R2,1000000,1,23.33,1000000,8000000,281456087,0.7180
parquet,1t,R2,1000000,2,23.31,1000000,8000000,281456087,0.7180
parquet,1t,R3,1000000,0,51.27,100,3200,281456087,0.7180
parquet,1t,R3,1000000,1,50.13,100,3200,281456087,0.7180
parquet,1t,R3,1000000,2,49.98,100,3200,281456087,0.7180
parquet,1t,R4,1000000,0,101.88,10000,320000,281456087,0.7180
parquet,1t,R4,1000000,1,102.42,10000,320000,281456087,0.7180
parquet,1t,R4,1000000,2,102.58,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,0,23.18,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,1,22.96,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,2,22.97,10000,320000,281456087,0.7180
parquet,1t,R6,1000000,0,43.48,1,8,281456087,0.7180
parquet,1t,R6,1000000,1,43.04,1,8,281456087,0.7180
parquet,1t,R6,1000000,2,42.54,1,8,281456087,0.7180
splayed,1t,W1,5000000,0,26583.44,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,0,4461.49,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,1,4289.21,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,2,4236.16,5000000,1960000000,1350533929,0.6890
splayed,1t,R2,5000000,0,2210.27,5000000,40000000,1350533929,0.6890
splayed,1t,R2,5000000,1,2079.52,5000000,40000000,1350533929,0.6890
splayed,1t,R2,5000000,2,2148.01,5000000,40000000,1350533929,0.6890
splayed,1t,R3,5000000,0,4.53,500,16000,1350533929,0.6890
splayed,1t,R3,5000000,1,4.58,500,16000,1350533929,0.6890
splayed,1t,R3,5000000,2,4.55,500,16000,1350533929,0.6890
splayed,1t,R4,5000000,0,27.84,50000,1600000,1350533929,0.6890
splayed,1t,R4,5000000,1,27.73,50000,1600000,1350533929,0.6890
splayed,1t,R4,5000000,2,27.88,50000,1600000,1350533929,0.6890
splayed,1t,R5,5000000,0,29.53,50000,1600000,1350533929,0.6890
splayed,1t,R5,5000000,1,29.75,50000,1600000,1350533929,0.6890
splayed,1t,R5,5000000,2,29.46,50000,1600000,1350533929,0.6890
splayed,1t,R6,5000000,0,4.16,1,8,1350533929,0.6890
splayed,1t,R6,5000000,1,4.07,1,8,1350533929,0.6890
splayed,1t,R6,5000000,2,4.11,1,8,1350533929,0.6890
splayed,4t,W1,5000000,0,20821.61,5000000,1960000000,1350533929,0.6890
splayed,4t,R1,5000000,0,4305.74,5000000,1960000000,1350533929,0.6890
splayed,4t,R1,5000000,1,4204.39,5000000,1960000000,1350533929,0.6890
splayed,4t,R1,5000000,2,4307.16,5000000,1960000000,1350533929,0.6890
splayed,4t,R2,5000000,0,2169.00,5000000,40000000,1350533929,0.6890
splayed,4t,R2,5000000,1,2111.98,5000000,40000000,1350533929,0.6890
splayed,4t,R2,5000000,2,2126.11,5000000,40000000,1350533929,0.6890
splayed,4t,R3,5000000,0,4.54,500,16000,1350533929,0.6890
splayed,4t,R3,5000000,1,4.62,500,16000,1350533929,0.6890
splayed,4t,R3,5000000,2,4.53,500,16000,1350533929,0.6890
splayed,4t,R4,5000000,0,27.99,50000,1600000,1350533929,0.6890
splayed,4t,R4,5000000,1,27.94,50000,1600000,1350533929,0.6890
splayed,4t,R4,5000000,2,28.00,50000,1600000,1350533929,0.6890
splayed,4t,R5,5000000,0,29.70,50000,1600000,1350533929,0.6890
splayed,4t,R5,5000000,1,29.73,50000,1600000,1350533929,0.6890
splayed,4t,R5,5000000,2,29.68,50000,1600000,1350533929,0.6890
splayed,4t,R6,5000000,0,4.07,1,8,1350533929,0.6890
splayed,4t,R6,5000000,1,4.08,1,8,1350533929,0.6890
splayed,4t,R6,5000000,2,4.14,1,8,1350533929,0.6890
parquet,1t,W1,5000000,0,29930.37,5000000,1960000000,1411275848,0.7200
parquet,1t,R1,5000000,0,9758.16,5000000,1960000000,1411275848,0.7200
parquet,1t,R1,5000000,1,9681.37,5000000,1960000000,1411275848,0.7200
parquet,1t,R1,5000000,2,9755.89,5000000,1960000000,1411275848,0.7200
parquet,1t,R2,5000000,0,114.51,5000000,40000000,1411275848,0.7200
parquet,1t,R2,5000000,1,114.46,5000000,40000000,1411275848,0.7200
parquet,1t,R2,5000000,2,115.06,5000000,40000000,1411275848,0.7200
parquet,1t,R3,5000000,0,219.62,500,16000,1411275848,0.7200
parquet,1t,R3,5000000,1,221.99,500,16000,1411275848,0.7200
parquet,1t,R3,5000000,2,216.33,500,16000,1411275848,0.7200
parquet,1t,R4,5000000,0,488.01,50000,1600000,1411275848,0.7200
parquet,1t,R4,5000000,1,488.75,50000,1600000,1411275848,0.7200
parquet,1t,R4,5000000,2,488.89,50000,1600000,1411275848,0.7200
parquet,1t,R5,5000000,0,80.47,50000,1600000,1411275848,0.7200
parquet,1t,R5,5000000,1,80.20,50000,1600000,1411275848,0.7200
parquet,1t,R5,5000000,2,80.80,50000,1600000,1411275848,0.7200
parquet,1t,R6,5000000,0,264.80,1,8,1411275848,0.7200
parquet,1t,R6,5000000,1,194.17,1,8,1411275848,0.7200
parquet,1t,R6,5000000,2,194.40,1,8,1411275848,0.7200
splayed,1t,W1,10000000,0,67069.15,10000000,3920000000,2700621125,0.6889
splayed,1t,R1,10000000,0,8769.66,10000000,3920000000,2700621125,0.6889
splayed,1t,R1,10000000,1,8818.93,10000000,3920000000,2700621125,0.6889
splayed,1t,R1,10000000,2,8502.84,10000000,3920000000,2700621125,0.6889
splayed,1t,R2,10000000,0,4129.72,10000000,80000000,2700621125,0.6889
splayed,1t,R2,10000000,1,4045.46,10000000,80000000,2700621125,0.6889
splayed,1t,R2,10000000,2,4127.20,10000000,80000000,2700621125,0.6889
splayed,1t,R3,10000000,0,4.93,990,31680,2700621125,0.6889
splayed,1t,R3,10000000,1,5.07,990,31680,2700621125,0.6889
splayed,1t,R3,10000000,2,4.79,990,31680,2700621125,0.6889
splayed,1t,R4,10000000,0,49.92,100000,3200000,2700621125,0.6889
splayed,1t,R4,10000000,1,49.51,100000,3200000,2700621125,0.6889
splayed,1t,R4,10000000,2,50.73,100000,3200000,2700621125,0.6889
splayed,1t,R5,10000000,0,49.66,99000,3168000,2700621125,0.6889
splayed,1t,R5,10000000,1,50.24,99000,3168000,2700621125,0.6889
splayed,1t,R5,10000000,2,50.62,99000,3168000,2700621125,0.6889
splayed,1t,R6,10000000,0,4.21,1,8,2700621125,0.6889
splayed,1t,R6,10000000,1,4.19,1,8,2700621125,0.6889
splayed,1t,R6,10000000,2,4.29,1,8,2700621125,0.6889
splayed,4t,W1,10000000,0,47657.99,10000000,3920000000,2700621125,0.6889
splayed,4t,R1,10000000,0,8430.49,10000000,3920000000,2700621125,0.6889
splayed,4t,R1,10000000,1,8459.97,10000000,3920000000,2700621125,0.6889
splayed,4t,R1,10000000,2,8610.48,10000000,3920000000,2700621125,0.6889
splayed,4t,R2,10000000,0,4037.01,10000000,80000000,2700621125,0.6889
splayed,4t,R2,10000000,1,4096.32,10000000,80000000,2700621125,0.6889
splayed,4t,R2,10000000,2,4155.33,10000000,80000000,2700621125,0.6889
splayed,4t,R3,10000000,0,4.85,990,31680,2700621125,0.6889
splayed,4t,R3,10000000,1,4.95,990,31680,2700621125,0.6889
splayed,4t,R3,10000000,2,4.85,990,31680,2700621125,0.6889
splayed,4t,R4,10000000,0,57.28,100000,3200000,2700621125,0.6889
splayed,4t,R4,10000000,1,65.40,100000,3200000,2700621125,0.6889
splayed,4t,R4,10000000,2,64.87,100000,3200000,2700621125,0.6889
splayed,4t,R5,10000000,0,49.93,99000,3168000,2700621125,0.6889
splayed,4t,R5,10000000,1,49.85,99000,3168000,2700621125,0.6889
splayed,4t,R5,10000000,2,53.51,99000,3168000,2700621125,0.6889
splayed,4t,R6,10000000,0,4.63,1,8,2700621125,0.6889
splayed,4t,R6,10000000,1,4.25,1,8,2700621125,0.6889
splayed,4t,R6,10000000,2,4.24,1,8,2700621125,0.6889
parquet,1t,W1,10000000,0,64216.22,10000000,3920000000,2815424650,0.7182
parquet,1t,R1,10000000,0,19538.19,10000000,3920000000,2815424650,0.7182
parquet,1t,R1,10000000,1,19417.01,10000000,3920000000,2815424650,0.7182
parquet,1t,R1,10000000,2,19477.01,10000000,3920000000,2815424650,0.7182
parquet,1t,R2,10000000,0,230.08,10000000,80000000,2815424650,0.7182
parquet,1t,R2,10000000,1,224.21,10000000,80000000,2815424650,0.7182
parquet,1t,R2,10000000,2,223.65,10000000,80000000,2815424650,0.7182
parquet,1t,R3,10000000,0,424.02,990,31680,2815424650,0.7182
parquet,1t,R3,10000000,1,425.37,990,31680,2815424650,0.7182
parquet,1t,R3,10000000,2,424.14,990,31680,2815424650,0.7182
parquet,1t,R4,10000000,0,1016.31,100000,3200000,2815424650,0.7182
parquet,1t,R4,10000000,1,990.38,100000,3200000,2815424650,0.7182
parquet,1t,R4,10000000,2,973.74,100000,3200000,2815424650,0.7182
parquet,1t,R5,10000000,0,154.93,99000,3168000,2815424650,0.7182
parquet,1t,R5,10000000,1,157.18,99000,3168000,2815424650,0.7182
parquet,1t,R5,10000000,2,158.62,99000,3168000,2815424650,0.7182
parquet,1t,R6,10000000,0,381.56,1,8,2815424650,0.7182
parquet,1t,R6,10000000,1,385.27,1,8,2815424650,0.7182
parquet,1t,R6,10000000,2,380.95,1,8,2815424650,0.7182
splayed,1t,W1,20000000,0,129014.69,20000000,7840000000,5399801099,0.6888
splayed,1t,R1,20000000,0,17034.00,20000000,7840000000,5399801099,0.6888
splayed,1t,R1,20000000,1,17750.77,20000000,7840000000,5399801099,0.6888
splayed,1t,R1,20000000,2,17610.76,20000000,7840000000,5399801099,0.6888
splayed,1t,R2,20000000,0,8278.14,20000000,160000000,5399801099,0.6888
splayed,1t,R2,20000000,1,8702.27,20000000,160000000,5399801099,0.6888
splayed,1t,R2,20000000,2,8705.68,20000000,160000000,5399801099,0.6888
splayed,1t,R3,20000000,0,5.29,1970,63040,5399801099,0.6888
splayed,1t,R3,20000000,1,5.29,1970,63040,5399801099,0.6888
splayed,1t,R3,20000000,2,5.29,1970,63040,5399801099,0.6888
splayed,1t,R4,20000000,0,94.76,200000,6400000,5399801099,0.6888
splayed,1t,R4,20000000,1,91.68,200000,6400000,5399801099,0.6888
splayed,1t,R4,20000000,2,91.86,200000,6400000,5399801099,0.6888
splayed,1t,R5,20000000,0,131.98,197000,6304000,5399801099,0.6888
splayed,1t,R5,20000000,1,112.65,197000,6304000,5399801099,0.6888
