engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,W1,1000000,0,7659.93,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,0,18.57,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,1,18.41,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,2,18.54,1000000,392000000,270958813,0.6912
splayed,1t,R2,1000000,0,8.07,1000000,8000000,270958813,0.6912
splayed,1t,R2,1000000,1,8.05,1000000,8000000,270958813,0.6912
splayed,1t,R2,1000000,2,8.06,1000000,8000000,270958813,0.6912
splayed,1t,R3,1000000,0,4.40,100,3200,270958813,0.6912
splayed,1t,R3,1000000,1,4.41,100,3200,270958813,0.6912
splayed,1t,R3,1000000,2,4.40,100,3200,270958813,0.6912
splayed,1t,R4,1000000,0,5.77,10000,320000,270958813,0.6912
splayed,1t,R4,1000000,1,5.78,10000,320000,270958813,0.6912
splayed,1t,R4,1000000,2,5.78,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,0,7.03,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,1,7.11,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,2,7.29,10000,320000,270958813,0.6912
splayed,1t,R6,1000000,0,4.93,1,8,270958813,0.6912
splayed,1t,R6,1000000,1,6.36,1,8,270958813,0.6912
splayed,1t,R6,1000000,2,5.71,1,8,270958813,0.6912
splayed,4t,W1,1000000,0,3755.99,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,0,18.72,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,1,18.73,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,2,19.01,1000000,392000000,270958813,0.6912
splayed,4t,R2,1000000,0,8.51,1000000,8000000,270958813,0.6912
splayed,4t,R2,1000000,1,8.58,1000000,8000000,270958813,0.6912
splayed,4t,R2,1000000,2,8.47,1000000,8000000,270958813,0.6912
splayed,4t,R3,1000000,0,4.50,100,3200,270958813,0.6912
splayed,4t,R3,1000000,1,4.33,100,3200,270958813,0.6912
splayed,4t,R3,1000000,2,4.35,100,3200,270958813,0.6912
splayed,4t,R4,1000000,0,5.79,10000,320000,270958813,0.6912
splayed,4t,R4,1000000,1,5.73,10000,320000,270958813,0.6912
splayed,4t,R4,1000000,2,5.80,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,0,7.02,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,1,7.04,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,2,7.02,10000,320000,270958813,0.6912
splayed,4t,R6,1000000,0,4.11,1,8,270958813,0.6912
splayed,4t,R6,1000000,1,4.28,1,8,270958813,0.6912
splayed,4t,R6,1000000,2,4.43,1,8,270958813,0.6912
parquet,1t,W1,1000000,0,5641.65,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,0,1192.98,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,1,1135.45,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,2,1086.13,1000000,392000000,281456087,0.7180
parquet,1t,R2,1000000,0,13.91,1000000,8000000,281456087,0.7180
parquet,1t,R2,1000000,1,13.91,1000000,8000000,281456087,0.7180
parquet,1t,R2,1000000,2,13.73,1000000,8000000,281456087,0.7180
parquet,1t,R3,1000000,0,53.62,100,3200,281456087,0.7180
parquet,1t,R3,1000000,1,54.18,100,3200,281456087,0.7180
parquet,1t,R3,1000000,2,50.99,100,3200,281456087,0.7180
parquet,1t,R4,1000000,0,101.81,10000,320000,281456087,0.7180
parquet,1t,R4,1000000,1,100.48,10000,320000,281456087,0.7180
parquet,1t,R4,1000000,2,100.81,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,0,19.15,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,1,19.31,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,2,19.47,10000,320000,281456087,0.7180
parquet,1t,R6,1000000,0,42.62,1,8,281456087,0.7180
parquet,1t,R6,1000000,1,42.60,1,8,281456087,0.7180
parquet,1t,R6,1000000,2,91.35,1,8,281456087,0.7180
splayed,1t,W1,5000000,0,24731.54,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,0,35.64,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,1,35.78,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,2,35.61,5000000,1960000000,1350533929,0.6890
splayed,1t,R2,5000000,0,8.85,5000000,40000000,1350533929,0.6890
splayed,1t,R2,5000000,1,9.19,5000000,40000000,1350533929,0.6890
splayed,1t,R2,5000000,2,8.77,5000000,40000000,1350533929,0.6890
splayed,1t,R3,5000000,0,4.58,500,16000,1350533929,0.6890
splayed,1t,R3,5000000,1,4.49,500,16000,1350533929,0.6890
splayed,1t,R3,5000000,2,4.36,500,16000,1350533929,0.6890
splayed,1t,R4,5000000,0,5.79,50000,1600000,1350533929,0.6890
splayed,1t,R4,5000000,1,5.80,50000,1600000,1350533929,0.6890
splayed,1t,R4,5000000,2,5.76,50000,1600000,1350533929,0.6890
splayed,1t,R5,5000000,0,7.17,50000,1600000,1350533929,0.6890
splayed,1t,R5,5000000,1,7.11,50000,1600000,1350533929,0.6890
splayed,1t,R5,5000000,2,7.18,50000,1600000,1350533929,0.6890
splayed,1t,R6,5000000,0,4.12,1,8,1350533929,0.6890
splayed,1t,R6,5000000,1,4.20,1,8,1350533929,0.6890
splayed,1t,R6,5000000,2,4.14,1,8,1350533929,0.6890
splayed,4t,W1,5000000,0,11576.78,5000000,1960000000,1350533929,0.6890
splayed,4t,R1,5000000,0,36.78,5000000,1960000000,1350533929,0.6890
splayed,4t,R1,5000000,1,38.93,5000000,1960000000,1350533929,0.6890
splayed,4t,R1,5000000,2,37.53,5000000,1960000000,1350533929,0.6890
splayed,4t,R2,5000000,0,8.75,5000000,40000000,1350533929,0.6890
splayed,4t,R2,5000000,1,8.72,5000000,40000000,1350533929,0.6890
splayed,4t,R2,5000000,2,8.88,5000000,40000000,1350533929,0.6890
splayed,4t,R3,5000000,0,4.32,500,16000,1350533929,0.6890
splayed,4t,R3,5000000,1,4.29,500,16000,1350533929,0.6890
splayed,4t,R3,5000000,2,4.28,500,16000,1350533929,0.6890
splayed,4t,R4,5000000,0,5.82,50000,1600000,1350533929,0.6890
splayed,4t,R4,5000000,1,5.77,50000,1600000,1350533929,0.6890
splayed,4t,R4,5000000,2,5.75,50000,1600000,1350533929,0.6890
splayed,4t,R5,5000000,0,7.05,50000,1600000,1350533929,0.6890
splayed,4t,R5,5000000,1,7.32,50000,1600000,1350533929,0.6890
splayed,4t,R5,5000000,2,7.07,50000,1600000,1350533929,0.6890
splayed,4t,R6,5000000,0,4.08,1,8,1350533929,0.6890
splayed,4t,R6,5000000,1,4.09,1,8,1350533929,0.6890
splayed,4t,R6,5000000,2,4.10,1,8,1350533929,0.6890
parquet,1t,W1,5000000,0,28794.83,5000000,1960000000,1411275848,0.7200
parquet,1t,R1,5000000,0,5505.86,5000000,1960000000,1411275848,0.7200
parquet,1t,R1,5000000,1,5486.19,5000000,1960000000,1411275848,0.7200
parquet,1t,R1,5000000,2,5566.50,5000000,1960000000,1411275848,0.7200
parquet,1t,R2,5000000,0,73.01,5000000,40000000,1411275848,0.7200
parquet,1t,R2,5000000,1,71.02,5000000,40000000,1411275848,0.7200
parquet,1t,R2,5000000,2,70.44,5000000,40000000,1411275848,0.7200
parquet,1t,R3,5000000,0,217.83,500,16000,1411275848,0.7200
parquet,1t,R3,5000000,1,220.18,500,16000,1411275848,0.7200
parquet,1t,R3,5000000,2,230.89,500,16000,1411275848,0.7200
parquet,1t,R4,5000000,0,485.35,50000,1600000,1411275848,0.7200
parquet,1t,R4,5000000,1,488.89,50000,1600000,1411275848,0.7200
parquet,1t,R4,5000000,2,486.87,50000,1600000,1411275848,0.7200
parquet,1t,R5,5000000,0,60.75,50000,1600000,1411275848,0.7200
parquet,1t,R5,5000000,1,60.88,50000,1600000,1411275848,0.7200
parquet,1t,R5,5000000,2,64.97,50000,1600000,1411275848,0.7200
parquet,1t,R6,5000000,0,199.89,1,8,1411275848,0.7200
parquet,1t,R6,5000000,1,196.60,1,8,1411275848,0.7200
parquet,1t,R6,5000000,2,201.02,1,8,1411275848,0.7200
splayed,1t,W1,10000000,0,81563.25,10000000,3920000000,2700621125,0.6889
splayed,1t,R1,10000000,0,60.15,10000000,3920000000,2700621125,0.6889
splayed,1t,R1,10000000,1,60.49,10000000,3920000000,2700621125,0.6889
splayed,1t,R1,10000000,2,60.67,10000000,3920000000,2700621125,0.6889
splayed,1t,R2,10000000,0,10.39,10000000,80000000,2700621125,0.6889
splayed,1t,R2,10000000,1,10.43,10000000,80000000,2700621125,0.6889
splayed,1t,R2,10000000,2,10.34,10000000,80000000,2700621125,0.6889
splayed,1t,R3,10000000,0,4.41,990,31680,2700621125,0.6889
splayed,1t,R3,10000000,1,4.40,990,31680,2700621125,0.6889
splayed,1t,R3,10000000,2,4.44,990,31680,2700621125,0.6889
splayed,1t,R4,10000000,0,5.88,100000,3200000,2700621125,0.6889
splayed,1t,R4,10000000,1,5.90,100000,3200000,2700621125,0.6889
splayed,1t,R4,10000000,2,5.87,100000,3200000,2700621125,0.6889
splayed,1t,R5,10000000,0,7.22,99000,3168000,2700621125,0.6889
splayed,1t,R5,10000000,1,7.34,99000,3168000,2700621125,0.6889
splayed,1t,R5,10000000,2,7.26,99000,3168000,2700621125,0.6889
splayed,1t,R6,10000000,0,4.27,1,8,2700621125,0.6889
splayed,1t,R6,10000000,1,4.21,1,8,2700621125,0.6889
splayed,1t,R6,10000000,2,4.20,1,8,2700621125,0.6889
splayed,4t,W1,10000000,0,26001.70,10000000,3920000000,2700621125,0.6889
splayed,4t,R1,10000000,0,59.89,10000000,3920000000,2700621125,0.6889
splayed,4t,R1,10000000,1,61.37,10000000,3920000000,2700621125,0.6889
splayed,4t,R1,10000000,2,61.02,10000000,3920000000,2700621125,0.6889
splayed,4t,R2,10000000,0,10.26,10000000,80000000,2700621125,0.6889
splayed,4t,R2,10000000,1,10.12,10000000,80000000,2700621125,0.6889
splayed,4t,R2,10000000,2,10.30,10000000,80000000,2700621125,0.6889
splayed,4t,R3,10000000,0,4.29,990,31680,2700621125,0.6889
splayed,4t,R3,10000000,1,4.28,990,31680,2700621125,0.6889
splayed,4t,R3,10000000,2,4.30,990,31680,2700621125,0.6889
splayed,4t,R4,10000000,0,6.08,100000,3200000,2700621125,0.6889
splayed,4t,R4,10000000,1,6.33,100000,3200000,2700621125,0.6889
splayed,4t,R4,10000000,2,6.47,100000,3200000,2700621125,0.6889
splayed,4t,R5,10000000,0,7.74,99000,3168000,2700621125,0.6889
splayed,4t,R5,10000000,1,7.74,99000,3168000,2700621125,0.6889
