engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,W1,1000000,0,16623.45,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,0,4518.08,1000000,392000000,270958813,0.6912
splayed,1t,R2,1000000,0,2106.55,1000000,8000000,270958813,0.6912
splayed,1t,R3,1000000,0,6.05,100,3200,270958813,0.6912
splayed,1t,R4,1000000,0,35.73,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,0,49.06,10000,320000,270958813,0.6912
splayed,1t,R6,1000000,0,4.81,1,8,270958813,0.6912
splayed,4t,W1,1000000,0,9041.98,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,0,4478.17,1000000,392000000,270958813,0.6912
splayed,4t,R2,1000000,0,2086.84,1000000,8000000,270958813,0.6912
splayed,4t,R3,1000000,0,5.91,100,3200,270958813,0.6912
splayed,4t,R4,1000000,0,36.10,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,0,48.63,10000,320000,270958813,0.6912
splayed,4t,R6,1000000,0,4.75,1,8,270958813,0.6912
parquet,1t,W1,1000000,0,35545.80,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,0,9934.63,1000000,392000000,281456087,0.7180
parquet,1t,R2,1000000,0,94.85,1000000,8000000,281456087,0.7180
parquet,1t,R3,1000000,0,813.07,100,3200,281456087,0.7180
parquet,1t,R4,1000000,0,1078.26,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,0,287.79,10000,320000,281456087,0.7180
parquet,1t,R6,1000000,0,809.53,1,8,281456087,0.7180
