engine,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,file_count
splayed,PW1,1000000,0,584.00,1000000,156000000,58814441,76
splayed,PR1,1000000,0,4.43,1000000,156000000,58814441,76
splayed,PR1,1000000,1,3.78,1000000,156000000,58814441,76
splayed,PR1,1000000,2,3.68,1000000,156000000,58814441,76
splayed,PR2,1000000,0,1.63,250000,39000000,58814441,76
splayed,PR2,1000000,1,1.61,250000,39000000,58814441,76
splayed,PR2,1000000,2,1.60,250000,39000000,58814441,76
splayed,PR3,1000000,0,2.32,500000,78000000,58814441,76
splayed,PR3,1000000,1,2.31,500000,78000000,58814441,76
splayed,PR3,1000000,2,2.30,500000,78000000,58814441,76
splayed,PR4,1000000,0,0.46,250,39000,58814441,76
splayed,PR4,1000000,1,0.44,250,39000,58814441,76
splayed,PR4,1000000,2,0.44,250,39000,58814441,76
splayed,PR5,1000000,0,0.43,4,0,58814441,76
splayed,PR5,1000000,1,0.43,4,0,58814441,76
splayed,PR5,1000000,2,0.43,4,0,58814441,76
duckdb,PW1,1000000,0,2566.745600081049,1000000,156000000,60825021,4
duckdb,PR1,1000000,0,16.4269000524655,1000000,156000000,60825021,4
duckdb,PR2,1000000,0,12.241600081324577,250000,39000000,60825021,4
duckdb,PR3,1000000,0,15.395499998703599,500000,78000000,60825021,4
duckdb,PR4,1000000,0,13.907600077800453,250,9000,60825021,4
duckdb,PR5,1000000,0,3.91890003811568,4,0,60825021,4
polars,PW1,1000000,0,1921.2249999400228,1000000,156000000,60549568,4
polars,PR1,1000000,0,14.223700040020049,1000000,156000000,60549568,4
polars,PR2,1000000,0,12.449100031517446,250000,39000000,60549568,4
polars,PR3,1000000,0,16.040499904192984,500000,78000000,60549568,4
polars,PR4,1000000,0,3.968499950133264,250,9000,60549568,4
polars,PR5,1000000,0,11.748099932447076,4,0,60549568,4
splayed,PW1,5000000,0,2591.19,5000000,780000000,294200577,76
splayed,PR1,5000000,0,16.46,5000000,780000000,294200577,76
splayed,PR1,5000000,1,15.78,5000000,780000000,294200577,76
splayed,PR1,5000000,2,16.23,5000000,780000000,294200577,76
splayed,PR2,5000000,0,4.61,1250000,195000000,294200577,76
splayed,PR2,5000000,1,4.52,1250000,195000000,294200577,76
splayed,PR2,5000000,2,4.59,1250000,195000000,294200577,76
splayed,PR3,5000000,0,9.39,2500000,390000000,294200577,76
splayed,PR3,5000000,1,8.78,2500000,390000000,294200577,76
splayed,PR3,5000000,2,8.70,2500000,390000000,294200577,76
splayed,PR4,5000000,0,0.47,1250,195000,294200577,76
